doc_id,table_id,row_index,ColumnA,ColumnB,ColumnC,ColumnD,ColumnE,ColumnF,ColumnG,ColumnH,ColumnI,ColumnJ,ColumnK,ColumnL,ColumnM,ColumnN
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,11,Bedaquiline,100 mg tab (alternative dosing strategy),–,–,–,–,–,–,2 od for 8 weeks followed by 1 od,2 od for 8 weeks followed by 1 od,2 od for 8 weeks followed by 1 od,2 od for 8 weeks followed by 1 od,2 od for 8 weeks followed by 1 od,Dosing scheme for adults and adolescents >14 years.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,12,Linezolid,20 mg /mL susp,2 mL,4 mL,6 mL,8 mL,11 mL,14 mL,15 mL,20 mL,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,13,Linezolid,150 mg dt (15 mg/mL),2.5 mL,5 mL (0.5 dt),1,1,2 [ e],2 [ e],2,3,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,14,Linezolid,600 mg tab (60 mg/mL),–,1.25 mL [ b],2.5 mL [ b],2.5 mL [ b],"5 mL (0.5 tab) [b, e]","5 mL (0.5 tab) [b, e]",5 mL (0.5 tab) [ b],7.5 mL (0.75 tab) [ b],1,1,1,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,15,Linezolid,600 mg tab (alternative dosing strategy for modified 9 months regimens),–,–,–,–,–,0.5,1 od for 16 weeks followed by 0.5 od or 1 M/W/F until the end of treatment,1 od for 16 weeks followed by 0.5 od or 1 M/W/F until the end of treatment,1 od for 16 weeks followed by 0.5 od or 1 M/W/F until the end of treatment,1 od for 16 weeks followed by 0.5 od or 1 M/W/F until the end of treatment,1 od for 16 weeks followed by 0.5 od or 1 M/W/F until the end of treatment,"This applies to modified 9-month regimens (BLMZ, BLLCZ, BLLfxCZ )."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,16,Clofazimine,50 mg cap or tab [f],1 M/F,1 M/W/F,1 M/W/F,1,1,2,2,2,2,2,2,"For children <24 kg, the use of the 50 mg tab is preferred."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,17,Clofazimine,100 mg cap or tab [f],–,1 M/F,1 M/F,1 M/W/F,1 M/W/F,1,1,1,1,1,1,"For children <24 kg, the use of the 50 mg tab is preferred."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,18,Cycloserine or terizidone,125 mg mini cap (Cs) (12.5 mg/mL),"2 mL [b, g]",4 mL [b],1,2,3,4,4,4,–,–,–,Pyridoxine is usually given to limit Cs toxicity.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,19,Cycloserine or terizidone,250 mg cap (25 mg/mL),"1 mL [b, g]",2 mL [b],5 mL [b],1,2,2,2,2,3,3,3,Pyridoxine is usually given to limit Cs toxicity.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,20,Ethambutol,100 mg dt (10 mg/mL),5 mL (0.5 dt),1,2,3,4,–,–,–,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,21,Ethambutol,400 mg tab (40 mg/mL),1.5 mL [b],3 mL [b],4 mL [b],6 mL,1,1.5,2,2,3,3,4,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,22,Delamanid,25 mg dt,1 od,<3 months: 1 od ≥3 months: 1 bd,<3 months: 1 od ≥3 months: 1 bd,1 bd,2 morning 1 evening,2 morning 1 evening,2 bd,2 bd,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,23,Delamanid,50 mg tab [h] (5 mg/mL),5 mL (0.5 tab) od [b],<3 months: 5 mL (0.5 tab) od [b] ≥3 months: 5 mL (0.5 tab) bd [b],<3 months: 5 mL (0.5 tab) od [b] ≥3 months: 5 mL (0.5 tab) bd [b],5 mL (0.5 tab) bd [b],10 mL (1 tab) morning 5 mL (0.5 tab) evening,10 mL (1 tab) morning 5 mL (0.5 tab) evening,1 bd,1 bd,2 bd,2 bd,2 bd,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,24,Pyrazinamide,150 mg dt (15 mg/mL),5 mL (0.5 dt),1,2,3,5,–,–,–,–,–,–,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,25,Pyrazinamide,400 mg tab (40 mg/mL),2.5 mL [b],5 mL (0.5 tab) [b],7.5 mL (0.75 tab) [b],1,2,2.5,3,4,4,4,5,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,26,Pyrazinamide,500 mg tab (50 mg/mL),2 mL [b],5 mL (5 mL) [b],5 mL (5 mL) [b],1,1.5,2,2.5,3,3,3,4,–
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,27,Imipenem- cilastatin,"500 mg + 500 mg powder for injection, vial (10 mL)",Not used in patients aged <15 years (use meropenem),Not used in patients aged <15 years (use meropenem),Not used in patients aged <15 years (use meropenem),Not used in patients aged <15 years (use meropenem),Not used in patients aged <15 years (use meropenem),Not used in patients aged <15 years (use meropenem),2 vials (1 g + 1 g) bd,2 vials (1 g + 1 g) bd,2 vials (1 g + 1 g) bd,2 vials (1 g + 1 g) bd,2 vials (1 g + 1 g) bd,Only to be used with clavulanic acid.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,28,Meropenem,"1 g powder for injection, vial (20 mL)",1 mL tid,2 mL tid,4 mL tid,6 mL tid,9 mL tid,11 mL tid,1 vial tid or 2 vials bd,1 vial tid or 2 vials bd,1 vial tid or 2 vials bd,1 vial tid or 2 vials bd,1 vial tid or 2 vials bd,Only to be used with clavulanic acid.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,29,Amikacin,"500 mg/2 mL solution for injection, ampoule",– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],3–4 mL,4 mL,4 mL,Recommended only in adults aged >18 years.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,30,Streptomycin,"1 g powder for injection, vial",– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],– [ i ],Calculate according to the dilution used,Calculate according to the dilution used,Calculate according to the dilution used,Recommended only in adults aged >18 years.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,31,Ethionamide or Prothionamide,125 mg dt (Eto) (12.5 mg/mL),3 mL [b],7 mL [b],1,2,3,4,4,4,–,–,–,"Although once daily dose advised, two divided doses can be also given to improve tolerance."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,32,Ethionamide or Prothionamide,250 mg tab (25 mg/mL),–,3 mL [b],5 mL (0.5 tab) [b],1,2,2,2,2,3,3,4,"Although once daily dose advised, two divided doses can be als ` o given to improve tolerance."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,33,P- aminosalicylic acid (PAS),PAS sodium salt (equivalent to 4 g PAS acid) sachet,0.3 g bd,0.75 g bd,1 g bd,2 g bd,3 g bd,3.5 g bd,4 g bd,4 g bd,4 g bd,4 g bd,4–6 g bd,Usually given in divided doses. Fully dose may be given once daily if tolerated.
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,34,Isoniazid [j] (high dose),50 mg/5 mL soln,5 mL,9 mL,15 mL,20 mL,–,–,–,–,–,–,–,"Pyridoxine is always given with high dose isoniazid in children (1–2 mg/kg) and in people at risk of side-effects (e.g. those with HIV or malnutrition). In infants, pyridoxine may be given as part of a multivitamin syrup."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,35,Isoniazid [j] (high dose),100 mg dt or tab (10 mg/mL),5 mL (0.5 dt),1,1.5,2,3,4,4,4.5,–,–,–,"Pyridoxine is always given with high dose isoniazid in children (1–2 mg/kg) and in people at risk of side-effects (e.g. those with HIV or malnutrition). In infants, pyridoxine may be given as part of a multivitamin syrup."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,36,Isoniazid [j] (high dose),300 mg tab,–,–,–,–,1,1.5,1.5,1.5,2,2,2,"Pyridoxine is always given with high dose isoniazid in children (1–2 mg/kg) and in people at risk of side-effects (e.g. those with HIV or malnutrition). In infants, pyridoxine may be given as part of a multivitamin syrup."
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,37,Clavulanic acid [j] (as amoxicillin/ clavulanate),"62.5 mg clavulanic acid as amoxicillin/ clavulanate (250/62.5 mg), powder for oral solution, 5 mL",1.5 mL tid,2 mL tid,3 mL tid,5 mL tid,8 mL tid,10 mL tid,10 mL bd or tid,10 mL bd or tid,–,–,–,Only available in combination with amoxicillin. To be given with each dose of imipenem/ cilastatin (bd) or meropenem ( tid ).
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,38,Clavulanic acid [j] (as amoxicillin/ clavulanate),125 mg clavulanic acid as amoxicillin/ clavulanate (500/125 mg) tab,–,–,–,–,–,1 tid,1 bd or tid,1 bd or tid,1 bd or tid,1 bd or tid,1 bd or tid,Only available in combination with amoxicillin. To be given with each dose of imipenem/ cilastatin (bd) or meropenem ( tid ).
WHO_TB_handbook_module4_treatment_2025,Table A4.2.,39,Pretomanid,200 mg tab,–,–,–,–,–,–,1,1,1,1,1,Currently only used as part of the BPaLM / BPaL regimens.
